NM_RxnSmiles,coarse_solvent,base,temperature,Yield,parsed_rxn,parsed_reagents,rxn_id,fine_solvent,dataset,exact_solvent,exact_base
OB(O)c1ccc(Cl)cc1.Brc1csc(N2C3CCC2COC3)n1>>Clc1ccc(-c2csc(N3C4CCC3COC4)n2)cc1,alcoArom,carbonate,20,87.45,[CH:17]12[CH2:23][O:22][CH2:21][CH:20]([CH2:19][CH2:18]1)[N:16]2[c:15]1[s:14][cH:13][c:12]([n:24]1)[Br:11].[OH:1][B:2]([OH:3])[c:4]1[cH:10][cH:9][c:7]([cH:6][cH:5]1)[Cl:8]>>[CH2:18]1[CH2:19][CH:20]2[CH2:21][O:22][CH2:23][CH:17]1[N:16]2[c:15]1[s:14][cH:13][c:12](-[c:4]2[cH:10][cH:9][c:7]([cH:6][cH:5]2)[Cl:8])[n:24]1,"",3405,alcohols/aromatics,train,CCO.Cc1ccccc1,O=C([O-])[O-].[K+].[K+]
Cn1c(C#N)ccc1B(O)O.O=S(=O)(NCC1CC1)c1ccc(Br)c(F)c1>>Cn1c(C#N)ccc1-c1ccc(S(=O)(=O)NCC2CC2)cc1F,other,fluoride,20,13.1,[CH2:18]1[CH2:19][CH:17]1[CH2:16][NH:15][S:13](=[O:12])(=[O:14])[c:20]1[cH:21][cH:22][c:23]([c:25]([F:26])[cH:27]1)[Br:24].[OH:10][B:9]([OH:11])[c:8]1[cH:7][cH:6][c:3]([n:2]1[CH3:1])[C:4]#[N:5]>>[O:12]=[S:13](=[O:14])([c:20]1[cH:27][c:25]([c:23]([cH:22][cH:21]1)-[c:8]1[cH:7][cH:6][c:3]([C:4]#[N:5])[n:2]1[CH3:1])[F:26])[NH:15][CH2:16][CH:17]1[CH2:18][CH2:19]1,"",1006,other,train,No Solvent,[K+].[F-]
Nc1ccc(B(O)O)cc1.COc1ccnc(CCc2nc3cc(Br)cnc3[nH]2)c1>>COc1ccnc(CCc2nc3cc(-c4ccc(N)cc4)cnc3[nH]2)c1,water/ethers,carbonate,20,52.3,[cH:4]1[cH:3][c:2]([cH:10][cH:9][c:5]1[B:6]([OH:8])[OH:7])[NH2:1].[n:16]1[cH:15][cH:14][c:13]([O:12][CH3:11])[cH:30][c:17]1[CH2:18][CH2:19][c:20]1[n:21][c:22]2[cH:23][c:24]([cH:26][n:27][c:28]2[nH:29]1)[Br:25]>>[cH:3]1[cH:4][c:5]([cH:9][cH:10][c:2]1[NH2:1])-[c:24]1[cH:26][n:27][c:28]2[nH:29][c:20]([n:21][c:22]2[cH:23]1)[CH2:19][CH2:18][c:17]1[cH:30][c:13]([cH:14][cH:15][n:16]1)[O:12][CH3:11],"",435,water/ethers,train,O.C1COCCO1,O=C([O-])[O-].[K+].[K+]
OB(O)c1ccsc1.Cn1ncnc1COc1nc2c(cc1Br)nnn2-c1ccccc1F>>Cn1ncnc1COc1nc2c(cc1-c1ccsc1)nnn2-c1ccccc1F,other,carbonate,20,58.8,[F:33][c:32]1[c:27]([cH:28][cH:29][cH:30][cH:31]1)-[n:26]1[c:19]2[c:20]([n:24][n:25]1)[cH:21][c:22]([Br:23])[c:17]([O:16][CH2:15][c:14]1[n:13][cH:12][n:11][n:10]1[CH3:9])[n:18]2.[OH:1][B:2]([OH:3])[c:4]1[cH:8][s:7][cH:6][cH:5]1>>[cH:6]1[s:7][cH:8][c:4]([cH:5]1)-[c:22]1[cH:21][c:20]2[n:24][n:25][n:26](-[c:27]3[cH:28][cH:29][cH:30][cH:31][c:32]3[F:33])[c:19]2[n:18][c:17]1[O:16][CH2:15][c:14]1[n:13][cH:12][n:11][n:10]1[CH3:9],"",167,other,train,CN(C)C=O.O.CCOC(C)=O,O=C([O-])[O-].[Cs+].[Cs+]
N#Cc1ccc(B(O)O)cc1.Brc1cnc(N2CCC(OC3CCCCC3)CC2)nc1>>N#Cc1ccc(-c2cnc(N3CCC(OC4CCCCC4)CC3)nc2)cc1,water/ethers,carbonate,20,66.9,[CH2:18]1[CH2:19][CH:20]([CH2:28][CH2:29][N:17]1[c:16]1[n:30][cH:31][c:13]([cH:14][n:15]1)[Br:12])[O:21][CH:22]1[CH2:27][CH2:26][CH2:25][CH2:24][CH2:23]1.[cH:5]1[cH:4][c:3]([cH:11][cH:10][c:6]1[B:7]([OH:8])[OH:9])[C:2]#[N:1]>>[CH2:23]1[CH2:24][CH2:25][CH2:26][CH2:27][CH:22]1[O:21][CH:20]1[CH2:19][CH2:18][N:17]([CH2:29][CH2:28]1)[c:16]1[n:30][cH:31][c:13]([cH:14][n:15]1)-[c:6]1[cH:10][cH:11][c:3]([cH:4][cH:5]1)[C:2]#[N:1],"",4053,water/ethers,train,O.COCCOC,O=C([O-])[O-].[Na+].[Na+]
OB(O)c1ccccc1F.COc1cccc(Sc2sc(CN(C)C(=O)OC(C)(C)C)cc2Br)c1>>COc1cccc(Sc2sc(CN(C)C(=O)OC(C)(C)C)cc2-c2ccccc2F)c1,water/ethers,carbonate,20,74.75,[CH3:29][C:28]([CH3:30])([CH3:31])[O:27][C:25]([N:23]([CH2:22][c:21]1[cH:32][c:33]([c:19]([S:18][c:17]2[cH:16][cH:15][cH:14][c:13]([cH:35]2)[O:12][CH3:11])[s:20]1)[Br:34])[CH3:24])=[O:26].[OH:1][B:2]([OH:3])[c:4]1[c:9]([cH:8][cH:7][cH:6][cH:5]1)[F:10]>>[CH3:29][C:28]([CH3:30])([CH3:31])[O:27][C:25]([N:23]([CH2:22][c:21]1[s:20][c:19]([S:18][c:17]2[cH:16][cH:15][cH:14][c:13]([O:12][CH3:11])[cH:35]2)[c:33](-[c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[F:10])[cH:32]1)[CH3:24])=[O:26],"",1886,water/ethers,train,O.COCCOC,O=C([O-])[O-].[Na+].[Na+]
OB(O)c1ccnc(Cl)c1.COC(=O)c1cc(Br)nc(N2CCN(C(=O)OC(C)(C)C)CC2)c1>>COC(=O)c1cc(-c2ccnc(Cl)c2)nc(N2CCN(C(=O)OC(C)(C)C)CC2)c1,other,carbonate,20,86.5,[CH3:29][C:28]([CH3:30])([CH3:31])[O:27][C:25]([N:24]1[CH2:32][CH2:33][N:21]([CH2:22][CH2:23]1)[c:20]1[n:19][c:17]([cH:16][c:15]([C:13]([O:12][CH3:11])=[O:14])[cH:34]1)[Br:18])=[O:26].[OH:1][B:2]([OH:3])[c:4]1[cH:5][cH:6][n:7][c:8]([Cl:9])[cH:10]1>>[CH3:29][C:28]([CH3:30])([CH3:31])[O:27][C:25]([N:24]1[CH2:32][CH2:33][N:21]([CH2:22][CH2:23]1)[c:20]1[cH:34][c:15]([cH:16][c:17]([n:19]1)-[c:4]1[cH:10][c:8]([n:7][cH:6][cH:5]1)[Cl:9])[C:13](=[O:14])[O:12][CH3:11])=[O:26],"",4127,other,train,COCCOC.CCOC(C)=O.ClCCl,O=C([O-])[O-].[Na+].[Na+]
OB(O)c1cncnc1.Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1-n1cnc2cc(Br)ccc2c1=O>>Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1-n1cnc2cc(-c3cncnc3)ccc2c1=O,other,carbonate,20,20.05,[CH3:24][C:23]([CH3:25])([C:26]#[N:27])[c:22]1[cH:21][cH:20][cH:19][c:18]([cH:28]1)[C:16]([NH:15][c:14]1[cH:29][c:30](-[n:31]2[cH:32][n:33][c:34]3[c:40]([c:41]2=[O:42])[cH:39][cH:38][c:36]([Br:37])[cH:35]3)[c:11]([CH3:10])[cH:12][cH:13]1)=[O:17].[OH:1][B:2]([OH:3])[c:4]1[cH:9][n:8][cH:7][n:6][cH:5]1>>[cH:5]1[n:6][cH:7][n:8][cH:9][c:4]1-[c:36]1[cH:35][c:34]2[c:40]([c:41]([n:31](-[c:30]3[cH:29][c:14]([NH:15][C:16]([c:18]4[cH:28][c:22]([cH:21][cH:20][cH:19]4)[C:23]([CH3:24])([CH3:25])[C:26]#[N:27])=[O:17])[cH:13][cH:12][c:11]3[CH3:10])[cH:32][n:33]2)=[O:42])[cH:39][cH:38]1,"",3788,other,train,No Solvent,O=C([O-])[O-].[Cs+].[Cs+]
OB(O)c1ccc(F)cc1.Clc1ncnc2sc(Br)cc12>>Fc1ccc(-c2cc3c(Cl)ncnc3s2)cc1,water/ethers,carbonate,20,47.1,[Br:19][c:18]1[cH:20][c:21]2[c:16]([n:15][cH:14][n:13][c:12]2[Cl:11])[s:17]1.[OH:1][B:2]([OH:3])[c:4]1[cH:10][cH:9][c:7]([cH:6][cH:5]1)[F:8]>>[cH:6]1[cH:5][c:4]([cH:10][cH:9][c:7]1[F:8])-[c:18]1[cH:20][c:21]2[c:12]([Cl:11])[n:13][cH:14][n:15][c:16]2[s:17]1,"",2685,water/ethers,train,O.C1COCCO1,O=C([O-])[O-].[K+].[K+]
Cc1cc(C)c(B(O)O)c(C)c1.CCCN(CCC)Cc1cccc(Br)n1>>CCCN(CCC)Cc1cccc(-c2c(C)cc(C)cc2C)n1,other,other,20,47.7,[CH2:14]([CH3:13])[CH2:15][N:16]([CH2:17][CH2:18][CH3:19])[CH2:20][c:21]1[n:27][c:25]([Br:26])[cH:24][cH:23][cH:22]1.[OH:8][B:7]([OH:9])[c:6]1[c:10]([CH3:11])[cH:12][c:2]([cH:3][c:4]1[CH3:5])[CH3:1]>>[cH:3]1[c:4]([CH3:5])[c:6]([c:10]([cH:12][c:2]1[CH3:1])[CH3:11])-[c:25]1[cH:24][cH:23][cH:22][c:21]([CH2:20][N:16]([CH2:17][CH2:18][CH3:19])[CH2:15][CH2:14][CH3:13])[n:27]1,"",1288,other,train,CC(C)(C)O.COCCOC,[K+].CC(C)(C)[O-]
CS(=O)(=O)c1ccc(B(O)O)cc1.Cn1cc(Br)c2ncnc(OC3CCN(C(=O)OC(C)(C)C)CC3)c21>>Cn1cc(-c2ccc(S(C)(=O)=O)cc2)c2ncnc(OC3CCN(C(=O)OC(C)(C)C)CC3)c21,ethers,carbonate,20,84.5,[CH3:33][C:32]([CH3:34])([CH3:35])[O:31][C:29](=[O:30])[N:28]1[CH2:27][CH2:26][CH:25]([CH2:37][CH2:36]1)[O:24][c:23]1[c:38]2[n:15]([CH3:14])[cH:16][c:17]([Br:18])[c:19]2[n:20][cH:21][n:22]1.[cH:6]1[cH:7][c:8]([cH:12][cH:13][c:5]1[S:2](=[O:3])(=[O:4])[CH3:1])[B:9]([OH:10])[OH:11]>>[CH3:33][C:32]([CH3:34])([CH3:35])[O:31][C:29](=[O:30])[N:28]1[CH2:27][CH2:26][CH:25]([CH2:37][CH2:36]1)[O:24][c:23]1[n:22][cH:21][n:20][c:19]2[c:17]([cH:16][n:15]([c:38]12)[CH3:14])-[c:8]1[cH:12][cH:13][c:5]([cH:6][cH:7]1)[S:2](=[O:3])(=[O:4])[CH3:1],"",2638,ethers,train,C1COCCO1,O=C([O-])[O-].[Na+].[Na+]
COc1ccc(B(O)O)cc1.Brc1n[nH]c2ccccc12>>COc1ccc(-c2n[nH]c3ccccc23)cc1,ethers,carbonate,20,5.2,[cH:5]1[cH:4][c:3]([cH:11][cH:10][c:6]1[B:7]([OH:8])[OH:9])[O:2][CH3:1].[nH:15]1[c:16]2[c:21]([cH:20][cH:19][cH:18][cH:17]2)[c:13]([n:14]1)[Br:12]>>[cH:4]1[cH:5][c:6]([cH:10][cH:11][c:3]1[O:2][CH3:1])-[c:13]1[n:14][nH:15][c:16]2[cH:17][cH:18][cH:19][cH:20][c:21]12,"",322,ethers,train,COCCOC,O=C([O-])[O-].[Na+].[Na+]
CC(=O)OCc1c(B(O)O)ccnc1-n1ncc2cc(C(C)(C)C)cc(F)c2c1=O.CCn1nc(Nc2cc(Br)cn(C)c2=O)cc1C>>CCn1nc(Nc2cc(-c3ccnc(-n4ncc5cc(C(C)(C)C)cc(F)c5c4=O)c3COC(C)=O)cn(C)c2=O)cc1C,polar,other,20,40.7,[CH3:22][C:21]([CH3:24])([CH3:23])[c:20]1[cH:19][c:18]2[cH:17][n:16][n:15](-[c:14]3[c:6]([CH2:5][O:4][C:2]([CH3:1])=[O:3])[c:7]([cH:11][cH:12][n:13]3)[B:8]([OH:9])[OH:10])[c:29](=[O:30])[c:28]2[c:26]([F:27])[cH:25]1.[c:47]1([CH3:48])[cH:46][c:35]([n:34][n:33]1[CH2:32][CH3:31])[NH:36][c:37]1[c:44](=[O:45])[n:42]([CH3:43])[cH:41][c:39]([Br:40])[cH:38]1>>[CH3:22][C:21]([CH3:24])([CH3:23])[c:20]1[cH:25][c:26]([c:28]2[c:18]([cH:19]1)[cH:17][n:16][n:15]([c:29]2=[O:30])-[c:14]1[n:13][cH:12][cH:11][c:7](-[c:39]2[cH:41][n:42]([c:44]([c:37]([cH:38]2)[NH:36][c:35]2[cH:46][c:47]([CH3:48])[n:33]([CH2:32][CH3:31])[n:34]2)=[O:45])[CH3:43])[c:6]1[CH2:5][O:4][C:2](=[O:3])[CH3:1])[F:27],"",2345,water/lowbp,train,O.CC#N,"O=P([O-])([O-])[O-].[Na+].[Na+].[Na+],CC(=O)[O-].[Na+],CC(=O)[O-].[K+],O=P([O-])([O-])[O-].[K+].[K+].[K+]"
OB(O)c1cccnc1.O=C1c2ccccc2C(=O)N1CCCCCc1ncc(-c2ccc(Br)cc2)o1>>O=C1c2ccccc2C(=O)N1CCCCCc1ncc(-c2ccc(-c3cccnc3)cc2)o1,water/ethers,carbonate,20,59.9,[O:10]=[C:11]1[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[C:18](=[O:19])[N:20]1[CH2:21][CH2:22][CH2:23][CH2:24][CH2:25][c:26]1[n:27][cH:28][c:29]([o:37]1)-[c:30]1[cH:36][cH:35][c:33]([cH:32][cH:31]1)[Br:34].[OH:1][B:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][n:8][cH:9]1>>[cH:14]1[cH:15][cH:16][c:17]2[c:12]([C:11](=[O:10])[N:20]([C:18]2=[O:19])[CH2:21][CH2:22][CH2:23][CH2:24][CH2:25][c:26]2[o:37][c:29]([cH:28][n:27]2)-[c:30]2[cH:36][cH:35][c:33]([cH:32][cH:31]2)-[c:4]2[cH:5][cH:6][cH:7][n:8][cH:9]2)[cH:13]1,"",3650,water/ethers,train,CCOCC.O.COCCOC,O=C([O-])[O-].[Na+].[Na+]
O=Cc1ccc(B(O)O)cc1.Cc1c2c(n(-c3ccc(Cl)cc3Cl)c1Br)CCN(N1CCCCC1)C2=O>>Cc1c2c(n(-c3ccc(Cl)cc3Cl)c1-c1ccc(C=O)cc1)CCN(N1CCCCC1)C2=O,ethers,carbonate,20,59.2,[CH2:31]1[CH2:32][CH2:33][CH2:34][CH2:35][N:30]1[N:29]1[C:36]([c:14]2[c:13]([c:25]([n:16](-[c:17]3[cH:18][cH:19][c:20]([cH:22][c:23]3[Cl:24])[Cl:21])[c:15]2[CH2:27][CH2:28]1)[Br:26])[CH3:12])=[O:37].[cH:4]1[cH:5][c:6]([cH:10][cH:11][c:3]1[CH:2]=[O:1])[B:7]([OH:8])[OH:9]>>[CH2:31]1[CH2:32][CH2:33][CH2:34][CH2:35][N:30]1[N:29]1[C:36]([c:14]2[c:15]([CH2:27][CH2:28]1)[n:16](-[c:17]1[cH:18][cH:19][c:20]([Cl:21])[cH:22][c:23]1[Cl:24])[c:25]([c:13]2[CH3:12])-[c:6]1[cH:10][cH:11][c:3]([cH:4][cH:5]1)[CH:2]=[O:1])=[O:37],"",3777,ethers,train,COCCOC,O=C([O-])[O-].[Na+].[Na+]
OB(O)c1ccccc1.COC(=O)c1sc2ncc(Br)cc2c1OCC(=O)OC(C)(C)C>>COC(=O)c1sc2ncc(-c3ccccc3)cc2c1OCC(=O)OC(C)(C)C,other,fluoride,20,79.0,[CH3:30][C:29]([CH3:32])([CH3:31])[O:28][C:26](=[O:27])[CH2:25][O:24][c:23]1[c:22]2[c:16]([n:17][cH:18][c:19]([Br:20])[cH:21]2)[s:15][c:14]1[C:12](=[O:13])[O:11][CH3:10].[cH:5]1[cH:6][cH:7][cH:8][cH:9][c:4]1[B:2]([OH:1])[OH:3]>>[CH3:30][C:29]([CH3:32])([CH3:31])[O:28][C:26]([CH2:25][O:24][c:23]1[c:14]([s:15][c:16]2[n:17][cH:18][c:19]([cH:21][c:22]12)-[c:4]1[cH:9][cH:8][cH:7][cH:6][cH:5]1)[C:12](=[O:13])[O:11][CH3:10])=[O:27],"",3587,other,train,No Solvent,[K+].[F-]
OB(O)c1cc(O)c(F)c(F)c1.C=CC(=O)N(CCn1nc(I)c2c(N)ncnc21)Cc1ccc(Cl)cc1>>C=CC(=O)N(CCn1nc(-c2cc(O)c(F)c(F)c2)c2c(N)ncnc21)Cc1ccc(Cl)cc1,polar,carbonate,20,8.6,[OH:1][B:2]([OH:3])[c:4]1[cH:12][c:10]([c:8]([c:6]([OH:7])[cH:5]1)[F:9])[F:11].[cH:34]1[cH:33][c:32]([cH:38][cH:37][c:35]1[Cl:36])[CH2:31][N:17]([CH2:18][CH2:19][n:20]1[n:21][c:22]([I:23])[c:24]2[c:25]([n:27][cH:28][n:29][c:30]12)[NH2:26])[C:15](=[O:16])[CH:14]=[CH2:13]>>[cH:34]1[cH:33][c:32]([cH:38][cH:37][c:35]1[Cl:36])[CH2:31][N:17]([CH2:18][CH2:19][n:20]1[c:30]2[c:24]([c:22](-[c:4]3[cH:12][c:10]([F:11])[c:8]([F:9])[c:6]([cH:5]3)[OH:7])[n:21]1)[c:25]([NH2:26])[n:27][cH:28][n:29]2)[C:15](=[O:16])[CH:14]=[CH2:13],"",5431,water/lowbp,train,O.CC#N,O=C([O-])[O-].[Na+].[Na+]
OB(O)c1ccncc1.CCN(CC)C(=O)c1cccc(Br)c1>>CCN(CC)C(=O)c1cccc(-c2ccncc2)c1,other,carbonate,20,68.85,[CH3:10][CH2:11][N:12]([CH2:13][CH3:14])[C:15](=[O:16])[c:17]1[cH:18][cH:19][cH:20][c:21]([Br:22])[cH:23]1.[cH:6]1[cH:5][c:4]([cH:9][cH:8][n:7]1)[B:2]([OH:1])[OH:3]>>[CH3:10][CH2:11][N:12]([CH2:13][CH3:14])[C:15]([c:17]1[cH:23][c:21](-[c:4]2[cH:9][cH:8][n:7][cH:6][cH:5]2)[cH:20][cH:19][cH:18]1)=[O:16],"",3941,other,train,C1CCOC1.CCOC(C)=O,O=C([O-])[O-].[Na+].[Na+]
COc1ccc2ccc(B(O)O)cc2c1.N#Cc1ccc2c(c1)c(Br)nn2C1CCCCO1>>COc1ccc2ccc(-c3nn(C4CCCCO4)c4ccc(C#N)cc34)cc2c1,ethers,phosphate,20,69.9,[CH2:32]1[O:33][CH:28]([CH2:29][CH2:30][CH2:31]1)[n:27]1[c:21]2[cH:20][cH:19][c:18]([C:17]#[N:16])[cH:23][c:22]2[c:24]([n:26]1)[Br:25].[OH:11][B:10]([OH:12])[c:9]1[cH:8][cH:7][c:6]2[c:14]([cH:15][c:3]([O:2][CH3:1])[cH:4][cH:5]2)[cH:13]1>>[O:33]1[CH:28]([n:27]2[n:26][c:24](-[c:9]3[cH:13][c:14]4[cH:15][c:3]([O:2][CH3:1])[cH:4][cH:5][c:6]4[cH:7][cH:8]3)[c:22]3[c:21]2[cH:20][cH:19][c:18]([cH:23]3)[C:17]#[N:16])[CH2:29][CH2:30][CH2:31][CH2:32]1,"",3601,ethers,train,COCCOC,O=P([O-])([O-])[O-].[K+].[K+].[K+]
O=C(NC1CC1)c1cc(B(O)O)ccn1.Cc1n[nH]c(C(=O)Nc2cnc3[nH]c(I)cc3c2)c1C>>Cc1n[nH]c(C(=O)Nc2cnc3[nH]c(-c4ccnc(C(=O)NC5CC5)c4)cc3c2)c1C,water/ethers,carbonate,20,8.350000000000001,[CH2:5]1[CH2:6][CH:4]1[NH:3][C:2]([c:7]1[cH:8][c:9]([cH:13][cH:14][n:15]1)[B:10]([OH:11])[OH:12])=[O:1].[CH3:35][c:34]1[c:20]([nH:19][n:18][c:17]1[CH3:16])[C:21](=[O:22])[NH:23][c:24]1[cH:25][n:26][c:27]2[nH:28][c:29]([I:30])[cH:31][c:32]2[cH:33]1>>[CH2:5]1[CH2:6][CH:4]1[NH:3][C:2](=[O:1])[c:7]1[n:15][cH:14][cH:13][c:9](-[c:29]2[cH:31][c:32]3[c:27]([nH:28]2)[n:26][cH:25][c:24]([NH:23][C:21]([c:20]2[nH:19][n:18][c:17]([CH3:16])[c:34]2[CH3:35])=[O:22])[cH:33]3)[cH:8]1,"",4607,water/ethers,train,O.C1COCCO1,O=C([O-])[O-].[K+].[K+]
COc1ccc(Cl)cc1B(O)O.CSc1ncc2ccc(Br)n2n1>>COc1ccc(Cl)cc1-c1ccc2cnc(SC)nn12,other,carbonate,20,46.3,[OH:11][B:10]([OH:12])[c:9]1[c:3]([cH:4][cH:5][c:6]([Cl:7])[cH:8]1)[O:2][CH3:1].[n:16]1[c:15]([n:24][n:23]2[c:21]([cH:20][cH:19][c:18]2[cH:17]1)[Br:22])[S:14][CH3:13]>>[n:16]1[c:15]([n:24][n:23]2[c:21](-[c:9]3[cH:8][c:6]([cH:5][cH:4][c:3]3[O:2][CH3:1])[Cl:7])[cH:20][cH:19][c:18]2[cH:17]1)[S:14][CH3:13],"",2069,other,train,CCO.O.C1CCOC1,O=C([O-])[O-].[Na+].[Na+]
CS(=O)(=O)c1cccc(B(O)O)c1.CCOC(=O)Cn1nc(C(F)(F)F)cc1-c1ccc(Br)s1>>CCOC(=O)Cn1nc(C(F)(F)F)cc1-c1ccc(-c2cccc(S(C)(=O)=O)c2)s1,polar,carbonate,20,67.05,[F:24][C:23]([F:25])([F:26])[c:22]1[cH:27][c:28]([n:20]([n:21]1)[CH2:19][C:17](=[O:18])[O:16][CH2:15][CH3:14])-[c:29]1[cH:30][cH:31][c:32]([Br:33])[s:34]1.[OH:11][B:10]([OH:12])[c:9]1[cH:8][cH:7][cH:6][c:5]([cH:13]1)[S:2](=[O:3])(=[O:4])[CH3:1]>>[F:24][C:23]([F:25])([F:26])[c:22]1[cH:27][c:28](-[c:29]2[s:34][c:32]([cH:31][cH:30]2)-[c:9]2[cH:8][cH:7][cH:6][c:5]([cH:13]2)[S:2](=[O:3])(=[O:4])[CH3:1])[n:20]([CH2:19][C:17](=[O:18])[O:16][CH2:15][CH3:14])[n:21]1,"",2848,amides,train,CN(C)C=O,O=C([O-])[O-].[Na+].[Na+]
COc1ccc(C=O)c(B(O)O)c1.FC(F)(F)Oc1ccc(-n2cnc(Br)c2)cc1>>COc1ccc(C=O)c(-c2cn(-c3ccc(OC(F)(F)F)cc3)cn2)c1,other,carbonate,20,72.8,[F:14][C:15]([F:16])([F:17])[O:18][c:19]1[cH:20][cH:21][c:22]([cH:29][cH:30]1)-[n:23]1[cH:28][c:26]([Br:27])[n:25][cH:24]1.[OH:11][B:10]([OH:12])[c:9]1[c:6]([CH:7]=[O:8])[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:13]1>>[F:14][C:15]([F:16])([F:17])[O:18][c:19]1[cH:20][cH:21][c:22]([cH:29][cH:30]1)-[n:23]1[cH:24][n:25][c:26](-[c:9]2[cH:13][c:3]([cH:4][cH:5][c:6]2[CH:7]=[O:8])[O:2][CH3:1])[cH:28]1,"",1689,other,train,C1CCCCC1.O.CCOC(C)=O.COCCOC,O=C([O-])O.[Na+]
OB(O)c1ccc(C(F)(F)F)cc1.O=C(c1cnc2cncc(Br)c2n1)N1CCS(=O)(=O)CC1>>O=C(c1cnc2cncc(-c3ccc(C(F)(F)F)cc3)c2n1)N1CCS(=O)(=O)CC1,water/ethers,carbonate,20,72.85,[CH2:28]1[CH2:29][S:30](=[O:32])(=[O:31])[CH2:33][CH2:34][N:27]1[C:15]([c:16]1[n:26][c:25]2[c:19]([n:18][cH:17]1)[cH:20][n:21][cH:22][c:23]2[Br:24])=[O:14].[F:9][C:8]([F:10])([F:11])[c:7]1[cH:12][cH:13][c:4]([cH:5][cH:6]1)[B:2]([OH:1])[OH:3]>>[F:9][C:8]([F:10])([F:11])[c:7]1[cH:12][cH:13][c:4]([cH:5][cH:6]1)-[c:23]1[cH:22][n:21][cH:20][c:19]2[n:18][cH:17][c:16]([C:15](=[O:14])[N:27]3[CH2:34][CH2:33][S:30](=[O:32])(=[O:31])[CH2:29][CH2:28]3)[n:26][c:25]12,"",5374,water/ethers,train,O.C1COCCO1,O=C([O-])[O-].[Cs+].[Cs+]
N#Cc1ccc(B(O)O)cc1.O=Cc1cccc(Br)n1>>N#Cc1ccc(-c2cccc(C=O)n2)cc1,alcoArom,carbonate,20,60.15,[cH:16]1[cH:17][c:18]([Br:19])[n:20][c:14]([CH:13]=[O:12])[cH:15]1.[cH:5]1[cH:4][c:3]([cH:11][cH:10][c:6]1[B:7]([OH:8])[OH:9])[C:2]#[N:1]>>[cH:5]1[cH:4][c:3]([cH:11][cH:10][c:6]1-[c:18]1[cH:17][cH:16][cH:15][c:14]([n:20]1)[CH:13]=[O:12])[C:2]#[N:1],"",3677,alcohols/aromatics,train,CO.Cc1ccccc1,O=C([O-])[O-].[Na+].[Na+]
OB(O)c1cccnc1.O[C@@H]1CCCC[C@H]1Nc1nc2ccc(Cn3cnc4cc(Br)cnc43)cc2s1>>O[C@@H]1CCCC[C@H]1Nc1nc2ccc(Cn3cnc4cc(-c5cccnc5)cnc43)cc2s1,other,carbonate,20,31.15,[CH2:14]1[CH2:13][CH2:12][C@@H:11]([OH:10])[C@@H:16]([CH2:15]1)[NH:17][c:18]1[n:19][c:20]2[cH:21][cH:22][c:23]([CH2:24][n:25]3[cH:26][n:27][c:28]4[cH:29][c:30]([cH:32][n:33][c:34]34)[Br:31])[cH:35][c:36]2[s:37]1.[OH:1][B:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][n:8][cH:9]1>>[CH2:14]1[CH2:13][CH2:12][C@@H:11]([OH:10])[C@@H:16]([CH2:15]1)[NH:17][c:18]1[n:19][c:20]2[cH:21][cH:22][c:23]([CH2:24][n:25]3[cH:26][n:27][c:28]4[cH:29][c:30]([cH:32][n:33][c:34]34)-[c:4]3[cH:5][cH:6][cH:7][n:8][cH:9]3)[cH:35][c:36]2[s:37]1,"",4798,other,train,No Solvent,O=C([O-])[O-].[Na+].[Na+]
OB(O)c1cccc2ccncc12.CC(C)(C)NC(=O)c1c[nH]c2ncc(Br)nc12>>CC(C)(C)NC(=O)c1c[nH]c2ncc(-c3cccc4ccncc34)nc12,water/ethers,carbonate,20,65.65,[CH3:14][C:15]([CH3:16])([CH3:17])[NH:18][C:19](=[O:20])[c:21]1[c:30]2[c:24]([nH:23][cH:22]1)[n:25][cH:26][c:27]([n:29]2)[Br:28].[OH:1][B:2]([OH:3])[c:4]1[c:13]2[cH:12][n:11][cH:10][cH:9][c:8]2[cH:7][cH:6][cH:5]1>>[CH3:14][C:15]([CH3:16])([CH3:17])[NH:18][C:19]([c:21]1[c:30]2[c:24]([n:25][cH:26][c:27](-[c:4]3[c:13]4[c:8]([cH:9][cH:10][n:11][cH:12]4)[cH:7][cH:6][cH:5]3)[n:29]2)[nH:23][cH:22]1)=[O:20],"",2339,water/ethers,train,O.C1COCCO1,O=C([O-])[O-].[Na+].[Na+]
OB(O)c1ccc(O)cc1.Cc1nc(Br)cs1>>Cc1nc(-c2ccc(O)cc2)cs1,water/ethers,other,20,49.3,[Br:15][c:14]1[cH:16][s:17][c:12]([CH3:11])[n:13]1.[cH:6]1[cH:5][c:4]([cH:10][cH:9][c:7]1[OH:8])[B:2]([OH:1])[OH:3]>>[cH:5]1[cH:6][c:7]([cH:9][cH:10][c:4]1-[c:14]1[n:13][c:12]([CH3:11])[s:17][cH:16]1)[OH:8],"",4493,water/ethers,train,O.COCCOC,No Base
